Quelle est la capitale de l'Australie ?,Sydney,Canberra,Melbourne,Canberra
Qui a peint "La Nuit étoilée" ?,Pablo Picasso,Claude Monet,Vincent van Gogh,Vincent van Gogh
Quel est l'élément chimique avec le symbole Na ?,Azote,Néon,Sodium,Sodium
Quelle est la plus grande île du monde ?,Groenland,Madagascar,Australie,Groenland
Qui a écrit "1984" ?,George Orwell,Ernest Hemingway,Aldous Huxley,George Orwell
Quelle est la langue la plus parlée au monde ?,Anglais,Chinois Mandarin,Espagnol,Chinois Mandarin
En quelle année l'homme a-t-il marché sur la Lune pour la première fois ?,1965,1969,1972,1969
Quel est le plus haut sommet du monde ?,Mont Everest,K2,Kangchenjunga,Mont Everest
Qui est le fondateur d'Amazon ?,Bill Gates,Jeff Bezos,Mark Zuckerberg,Jeff Bezos
Quel est le nombre d'os dans le corps humain adulte ?,206,208,210,206
Quel pays est surnommé "le pays du soleil levant" ?,Chine,Japon,Corée du Sud,Japon
Qui a écrit "Roméo et Juliette" ?,William Shakespeare,Charles Dickens,Jane Austen,William Shakespeare
Quel est le plus petit continent du monde ?,Afrique,Antarctique,Australie,Australie
Quel est l'animal terrestre le plus rapide ?,Cheetah,Lion,Tigre,Cheetah
Quel est le plus grand océan de la Terre ?,Océan Atlantique,Océan Pacifique,Océan Indien,Océan Pacifique
Qui a inventé l'ampoule électrique ?,Nikola Tesla,Thomas Edison,Alexander Graham Bell,Thomas Edison
Quelle est la devise de l'Italie ?,Euro,Dollar,Lire,Euro
Quel est l'état le plus grand des États-Unis ?,Texas,Alaska,Californie,Alaska
Qui a écrit "L'Attrape-Cœurs" ?,J.D. Salinger,F. Scott Fitzgerald,Ernest Hemingway,J.D. Salinger
Quelle planète est connue sous le nom de "planète rouge" ?,Mars,Jupiter,Venus,Mars
